,CAMBARI,CARRIZAL,HUACATA,INCAHUASI
1985-06-14 04:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 05:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 06:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 07:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 08:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 09:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 10:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 11:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 12:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 13:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 14:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 15:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 16:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 17:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 18:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 19:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 20:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 21:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 22:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-14 23:00:00,0.2998755767903226,1.5408380920918037,0.09190506072041167,14.582834755012225
1985-06-15 00:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 01:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 02:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 03:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 04:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 05:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 06:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 07:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 08:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 09:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 10:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 11:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 12:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 13:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 14:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 15:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 16:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 17:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 18:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 19:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 20:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 21:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 22:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-15 23:00:00,0.29592539041935484,1.5288638371239345,0.09190506072041167,14.472964082200493
1985-06-16 00:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 01:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 02:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 03:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 04:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 05:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 06:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 07:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 08:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 09:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 10:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 11:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 12:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 13:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 14:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 15:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 16:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 17:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 18:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 19:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 20:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 21:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 22:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-16 23:00:00,0.2951353531451613,1.517567370173115,0.09190506072041167,14.363093409388755
1985-06-17 00:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 01:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 02:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 03:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 04:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 05:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 06:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 07:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 08:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 09:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 10:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 11:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 12:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 13:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 14:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 15:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 16:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 17:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 18:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 19:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 20:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 21:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 22:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-17 23:00:00,0.30472866290322587,1.5069486912393446,0.09190506072041167,14.263210979559904
1985-06-18 00:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 01:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 02:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 03:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 04:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 05:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 06:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 07:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 08:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 09:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 10:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 11:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 12:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 13:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 14:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 15:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 16:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 17:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 18:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 19:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 20:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 21:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 22:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-18 23:00:00,0.32583394437096774,1.4974596590006561,0.09190506072041167,14.173316792713935
1985-06-19 00:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 01:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 02:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 03:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 04:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 05:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 06:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 07:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 08:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 09:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 10:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 11:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 12:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 13:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 14:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 15:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 16:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 17:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 18:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 19:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 20:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 21:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 22:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-19 23:00:00,0.34265045206451616,1.525023038360656,0.09190506072041167,14.393058138337409
1985-06-20 00:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 01:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 02:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 03:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 04:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 05:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 06:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 07:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 08:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 09:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 10:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 11:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 12:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 13:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 14:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 15:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 16:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 17:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 18:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 19:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 20:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 21:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 22:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-20 23:00:00,0.3533723865,1.6047760950334429,0.09190506072041167,15.062270418190712
1985-06-21 00:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 01:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 02:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 03:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 04:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 05:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 06:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 07:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 08:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 09:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 10:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 11:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 12:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 13:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 14:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 15:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 16:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 17:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 18:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 19:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 20:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 21:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 22:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-21 23:00:00,0.37617060498387095,1.799075326587541,0.09190506072041167,17.109860229682152
1985-06-22 00:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 01:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 02:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 03:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 04:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 05:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 06:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 07:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 08:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 09:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 10:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 11:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 12:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 13:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 14:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 15:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 16:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 17:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 18:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 19:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 20:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 21:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 22:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-22 23:00:00,0.38700540188709676,1.928984696521967,0.110286072864494,18.977661667481666
1985-06-23 00:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 01:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 02:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 03:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 04:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 05:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 06:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 07:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 08:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 09:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 10:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 11:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 12:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 13:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 14:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 15:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 16:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 17:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 18:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 19:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 20:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 21:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 22:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-23 23:00:00,0.3704146191290323,1.8869618394649186,0.10109556679245282,18.64804964904646
1985-06-24 00:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 01:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 02:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 03:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 04:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 05:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 06:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 07:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 08:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 09:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 10:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 11:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 12:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 13:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 14:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 15:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 16:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 17:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 18:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 19:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 20:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 21:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 22:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-24 23:00:00,0.3564196731290323,1.8194089670990163,0.10109556679245282,17.85897845339853
1985-06-25 00:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 01:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 02:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 03:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 04:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 05:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 06:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 07:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 08:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 09:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 10:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 11:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 12:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 13:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 14:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 15:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 16:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 17:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 18:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 19:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 20:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 21:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 22:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-25 23:00:00,0.34377907674193553,1.75840804556459,0.09190506072041167,17.15980144459658
1985-06-26 00:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 01:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 02:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 03:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 04:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 05:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 06:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 07:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 08:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 09:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
1985-06-26 10:00:00,0.33565297906451613,1.70644429759082,0.09190506072041167,16.580483351589248
