,OR,SU,NO,CE
2020-01-13 22:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-13 23:00:00,9.625360626448716,9.625360626448716,9.625360626448716,9.625360626448716
2020-01-14 00:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-14 01:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-14 02:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-14 03:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-14 04:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-14 05:00:00,8.985360626448717,8.985360626448717,8.985360626448717,8.985360626448717
2020-01-14 06:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-14 07:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-14 08:00:00,9.625360626448716,9.625360626448716,9.625360626448716,9.625360626448716
2020-01-14 09:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 10:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 11:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 12:00:00,9.625360626448716,9.625360626448716,9.625360626448716,9.625360626448716
2020-01-14 13:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-14 14:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 15:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 16:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 17:00:00,12.300899309247399,12.300899309247399,12.300899309247399,12.300899309247399
2020-01-14 18:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 19:00:00,12.722769992015746,12.722769992015746,12.722769992015746,12.722769992015746
2020-01-14 20:00:00,12.722769992015742,12.722769992015742,12.722769992015742,12.722769992015742
2020-01-14 21:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-14 22:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-14 23:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-15 00:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-15 01:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-15 02:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-15 03:00:00,8.985360626448717,8.985360626448717,8.985360626448717,8.985360626448717
2020-01-15 04:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-15 05:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-15 06:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-15 07:00:00,9.625360626448716,9.625360626448716,9.625360626448716,9.625360626448716
2020-01-15 08:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-15 09:00:00,12.573033646606152,12.573033646606152,12.573033646606152,12.573033646606152
2020-01-15 10:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-15 11:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-15 12:00:00,11.517302321323656,11.517302321323656,11.517302321323656,11.517302321323656
2020-01-15 13:00:00,12.32276999201574,12.32276999201574,12.32276999201574,12.32276999201574
2020-01-15 14:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-15 15:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-15 16:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-15 17:00:00,11.52276999201574,11.52276999201574,11.52276999201574,11.52276999201574
2020-01-15 18:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-15 19:00:00,12.722769992015742,12.722769992015742,12.722769992015742,12.722769992015742
2020-01-15 20:00:00,12.722769992015742,12.722769992015742,12.722769992015742,12.722769992015742
2020-01-15 21:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-15 22:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-15 23:00:00,9.625360626448716,9.625360626448716,9.625360626448716,9.625360626448716
2020-01-16 00:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-16 01:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-16 02:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-16 03:00:00,8.985360626448717,8.985360626448717,8.985360626448717,8.985360626448717
2020-01-16 04:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-16 05:00:00,9.035360626448718,9.035360626448718,9.035360626448718,9.035360626448718
2020-01-16 06:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-16 07:00:00,9.625360626448716,9.625360626448716,9.625360626448716,9.625360626448716
2020-01-16 08:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-16 09:00:00,12.573033646606152,12.573033646606152,12.573033646606152,12.573033646606152
2020-01-16 10:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-16 11:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-16 12:00:00,11.517302321323656,11.517302321323656,11.517302321323656,11.517302321323656
2020-01-16 13:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-16 14:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-16 15:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-16 16:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-16 17:00:00,11.522769992015743,11.522769992015743,11.522769992015743,11.522769992015743
2020-01-16 18:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-16 19:00:00,12.722769992015742,12.722769992015742,12.722769992015742,12.722769992015742
2020-01-16 20:00:00,12.722769992015742,12.722769992015742,12.722769992015742,12.722769992015742
2020-01-16 21:00:00,12.589436658682411,12.589436658682411,12.589436658682411,12.589436658682411
2020-01-16 22:00:00,12.322769992015743,12.322769992015743,12.322769992015743,12.322769992015743
2020-01-16 23:00:00,9.625360626448716,9.625360626448716,9.625360626448716,9.625360626448716
2020-01-17 00:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-17 01:00:00,9.17536062644872,9.17536062644872,9.17536062644872,9.17536062644872
2020-01-17 02:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 03:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-17 04:00:00,8.987860626448724,8.987860626448724,8.987860626448724,8.987860626448724
2020-01-17 05:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-17 06:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 07:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 08:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 09:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 10:00:00,9.125360626448717,9.054527293115388,9.054527293115388,9.054527293115388
2020-01-17 11:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-17 12:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-17 13:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-17 14:00:00,9.142027293115385,9.142027293115383,9.142027293115383,9.142027293115383
2020-01-17 15:00:00,9.142027293115385,9.142027293115383,9.142027293115383,9.142027293115383
2020-01-17 16:00:00,9.142027293115385,9.142027293115385,9.142027293115385,9.142027293115385
2020-01-17 17:00:00,9.075360626448717,9.075360626448717,9.075360626448717,9.075360626448717
2020-01-17 18:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 19:00:00,13.117302321323658,13.117302321323658,13.117302321323658,13.117302321323658
2020-01-17 20:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-17 21:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 22:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-17 23:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 00:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-18 01:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 02:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 03:00:00,9.037860626448726,9.037860626448726,9.037860626448726,9.037860626448726
2020-01-18 04:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 05:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-18 06:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-18 07:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 08:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 09:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 10:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 11:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 12:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-18 13:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-18 14:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-18 15:00:00,9.125360626448717,9.004527293115382,9.004527293115382,9.004527293115382
2020-01-18 16:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 17:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 18:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 19:00:00,13.117302321323658,13.117302321323658,13.117302321323658,13.117302321323658
2020-01-18 20:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-18 21:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 22:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-18 23:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 00:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 01:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 02:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 03:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 04:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 05:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 06:00:00,8.625360626448717,8.625360626448717,8.625360626448717,8.625360626448717
2020-01-19 07:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 08:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 09:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 10:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 11:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 12:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 13:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 14:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 15:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 16:00:00,9.26286062644872,9.26286062644872,9.26286062644872,9.26286062644872
2020-01-19 17:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-19 18:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 19:00:00,9.625360626448717,9.625360626448717,9.625360626448717,9.625360626448717
2020-01-19 20:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 21:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 22:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-19 23:00:00,9.125360626448717,9.004527293115382,9.004527293115382,9.004527293115382
2020-01-20 00:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 01:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 02:00:00,9.021193959782057,9.021193959782057,9.021193959782057,9.021193959782057
2020-01-20 03:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-20 04:00:00,8.987860626448715,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-20 05:00:00,9.004527293115384,9.004527293115384,9.004527293115384,9.004527293115384
2020-01-20 06:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 07:00:00,9.125360626448717,8.987860626448713,8.987860626448713,8.987860626448713
2020-01-20 08:00:00,9.125360626448717,9.021193959782057,9.021193959782057,9.021193959782057
2020-01-20 09:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-20 10:00:00,9.125360626448717,9.021193959782057,9.021193959782057,9.021193959782057
2020-01-20 11:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-20 12:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-20 13:00:00,9.125360626448717,8.987860626448715,8.987860626448715,8.987860626448715
2020-01-20 14:00:00,9.125360626448717,9.021193959782057,9.021193959782057,9.021193959782057
2020-01-20 15:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 16:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 17:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 18:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 19:00:00,13.117302321323658,13.117302321323658,13.117302321323658,13.117302321323658
2020-01-20 20:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-20 21:00:00,12.317302321323657,12.317302321323657,12.317302321323657,12.317302321323657
2020-01-20 22:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-20 23:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-21 00:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-21 01:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
2020-01-21 02:00:00,9.125360626448717,9.125360626448717,9.125360626448717,9.125360626448717
